ASV,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,domain,phylum,class,order,family,genus,species,direction,significant
ASV_591,34.07213027628393,-7.825164243390287,2.6908751779011375,-2.908036875011741,0.003637054480926618,0.026842972020530452,Bacteria,NB1-j,Incertae Sedis_36,Incertae Sedis_110,Incertae sedis (NB1-j),Incertae Sedis_623,NA,Enriched at bottom,TRUE
ASV_1,74.96146993793546,7.777895612923683,2.6787675147559136,2.903535140723997,0.0036897556041966253,0.026842972020530452,Bacteria,Pseudomonadota,Gammaproteobacteria_2,Enterobacterales_2,Vibrionaceae_2,NA,NA,Enriched at top,TRUE
ASV_458,34.918275435138845,-8.192909851703368,2.840544814950806,-2.88427410424266,0.003923171110933762,0.02818871094522777,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Mariniblastus,NA,Enriched at bottom,TRUE
ASV_283,68.82512125146602,-7.819140383881401,2.7256395400887943,-2.868736041166571,0.004121155677363795,0.02904101786807253,Bacteria,Pseudomonadota,Gammaproteobacteria_2,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_312,56.46165661616528,-7.794840193320319,2.718651773662265,-2.867171245995944,0.004141588458848831,0.02904101786807253,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Gimesiaceae,Incertae Sedis_743,NA,Enriched at bottom,TRUE
ASV_270,22.43837051561231,-8.696799021019737,3.047644608849907,-2.8536132447220144,0.004322511889424136,0.029596493172292317,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_496,27.358366868608854,-7.060397889122454,2.4731989315576905,-2.8547634397834774,0.00430688957474377,0.029596493172292317,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_672,29.968262229068042,-8.070392247991762,2.8571991017807763,-2.824581683146202,0.004734237945596853,0.03203868005043452,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_570,28.93903703871522,-8.003353711584719,2.8504754920535094,-2.807725845704089,0.004989268151283965,0.03337648349479618,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA,Enriched at bottom,TRUE
ASV_535,25.492423023190582,-8.531934649413813,3.047530080284765,-2.7996227845654533,0.005116235476485526,0.033456730868703106,Bacteria,Planctomycetota,OM190,Incertae Sedis_134,Incertae sedis (Planctomycetota),Incertae Sedis_714,NA,Enriched at bottom,TRUE
