	N-Amend-BR5-10-FT_S119_F_filt.fastq	N-Amend-C-T4_S125_F_filt.fastq	N-Amend-D-T4_S126_F_filt.fastq	N-Amend-T0_S124_F_filt.fastq	N-BR10-B_S107_F_filt.fastq	N-BR10-T_S108_F_filt.fastq	N-BR5-B_S99_F_filt.fastq	N-BR5-T_S100_F_filt.fastq	N-BR6-B_S101_F_filt.fastq	N-BR6-T_S102_F_filt.fastq	N-BR8-B_S103_F_filt.fastq	N-BR8-T_S104_F_filt.fastq	N-BR9-B_S105_F_filt.fastq	N-BR9-T_S106_F_filt.fastq	N-Control-A-T4_S122_F_filt.fastq	N-Control-B-T4_S123_F_filt.fastq	N-Control-T0_S121_F_filt.fastq	N-NEG_S128_F_filt.fastq
ASV_245	0	0	0	0	93	77	61	109	35	76	53	80	98	0	0	0	0	0
ASV_246	421	0	0	0	0	0	56	0	0	0	87	117	0	0	0	0	0	0
ASV_247	0	0	0	0	0	0	26	208	0	0	0	398	0	49	0	0	0	0
ASV_248	0	0	0	0	0	0	190	326	0	0	0	159	0	0	0	0	0	0
ASV_249	0	0	0	0	72	66	67	0	7	196	103	73	88	0	0	0	0	0
ASV_250	396	0	0	0	61	26	0	0	0	56	0	51	81	0	0	0	0	0
ASV_251	0	0	0	242	0	0	0	0	0	0	0	0	0	0	85	147	195	0
ASV_252	0	0	0	0	90	125	83	66	0	111	58	62	73	0	0	0	0	0
ASV_253	112	0	0	0	0	424	0	0	0	70	0	60	0	0	0	0	0	0
ASV_254	0	0	0	0	80	0	0	0	0	183	124	137	140	0	0	0	0	0
ASV_255	0	0	0	0	0	408	81	109	0	0	0	58	0	0	0	0	0	0
ASV_256	0	0	0	0	92	201	0	116	142	102	0	0	0	0	0	0	0	0
ASV_257	604	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0
ASV_258	0	0	0	0	0	113	183	0	0	0	65	80	148	60	0	0	0	0
ASV_259	0	0	0	0	0	0	46	500	0	0	0	98	0	0	0	0	0	0
ASV_260	25	0	0	0	0	140	0	178	0	92	0	171	0	37	0	0	0	0
ASV_261	14	0	0	0	65	0	97	13	0	53	115	139	146	0	0	0	0	0
ASV_262	182	0	0	0	27	0	74	127	23	144	0	64	0	0	0	0	0	0
ASV_263	0	0	0	0	156	0	0	0	0	121	110	112	138	0	0	0	0	0
ASV_264	0	0	0	0	0	421	0	27	106	52	0	30	0	0	0	0	0	0
ASV_265	7	0	0	0	47	246	0	15	115	140	0	20	42	0	0	0	0	0
ASV_266	0	0	0	214	0	0	0	0	0	0	0	0	0	0	87	149	181	0
ASV_267	0	0	0	0	131	232	0	0	49	22	74	0	123	0	0	0	0	0
